,item_id,Recency,Frequency,Monetary_Income,Recency_S,Frequency_S,Monetary_Income_S,RFM_Income,level_income,item_weight
0,024f655f486c416aa189b62a44b63fd0,1,26,36277.36,9,5,7,6.8,6,0.5107569686485394
1,072887cb12f44160beb8a654a293977f,0,156,9282.80000000001,10,9,5,7.199999999999999,6,0.6666283051298374
2,09d64e1164604735a92172354aba8b94,51,13,708.4,4,4,3,3.5,3,-0.7751815573221708
3,0cfdd2dc69c74b1493acf5ea70b217c8,0,2,124.2,10,1,1,2.8,2,-1.0479563961644427
4,0e38ba3702974c1888aa3641a92a8237,3,15,621.0000000000001,8,4,2,3.8,3,-0.6582780549611972
5,0ecbd81b65974328845f2687fa41e908,0,2026,2780007.4299999992,10,10,10,10.0,8,1.7577276604989251
6,0f12df2835004124b5c6dec4129cbdbb,57,14,478.4,3,4,2,2.8,2,-1.0479563961644427
7,0f2453b0d8d04023ba3fbbab03e842fd,7,348,896326.9000000001,7,10,10,9.4,8,1.523920655776978
8,10fea68f90e24aa8ba03241f1b0c2cd6,0,47,22826.19,10,6,6,6.8,6,0.5107569686485394
9,129166c4546f42048922d8e9da1321b3,7,143,522822.3,7,9,10,9.1,7,1.407017153416004
10,13374180138745b6bc253bcdfa327de7,0,199,205287.17999999996,10,10,9,9.5,8,1.5628884898973023
11,1b16b586af26427d9b2ed8a4e69ffe3a,7,175,506298.78,7,9,10,9.1,7,1.407017153416004
12,1cb48bf7673040d292ffa55cc1931fd9,1,94,58751.200000000004,9,8,7,7.7,7,0.8614674757314604
13,2230496603db43dfa25109aab5ae8578,29,4,156.39999999999998,5,2,1,2.1,1,-1.3207312350067144
14,2b64a828814e4647932f061156ac7820,0,20,786.6000000000001,10,5,3,5.0,4,-0.19066404551730246
15,2d4d9eabb84f42d79f26d25d8a776bc6,11,321,123830.54000000012,6,10,8,8.2,7,1.0563066463330828
16,2eebe06d16124459af5ff50e1c339668,331,9,0.0,1,3,0,1.0999999999999999,1,-1.71040957620996
17,2f47c73271d6469f9b6ded2a1eb3e5e2,0,173,436385.2,10,9,9,9.2,8,1.4459849875363284
18,32a1ca06a24b4c83974701e5de782ffc,1,91,7184.2800000000025,9,8,5,6.7,5,0.47178913452821497
19,33a9bc0a35234b9d96206aca5ed78fdd,0,91,74145.12000000001,10,8,8,8.4,7,1.1342423145737324
20,34585cbb089544cdba74002a54953621,77,7,517.8000000000001,2,3,2,2.3,2,-1.2427955667660653
21,38d8ae777199418da0d93e01dc94f0d4,7,127,608171.9399999998,7,9,10,9.1,7,1.407017153416004
22,3966aa25af264275a264b9cfdbcd3502,51,2,87.39999999999999,4,1,1,1.6,1,-1.5155704056083372
23,39bfd2aef4b04c4c92ffa1c9af60ab74,93,89,243522.20000000004,1,8,9,7.1,6,0.6276604710095129
24,3aea72f40b954b0a9159913d36ad45ae,25,117,443703.00000000006,6,9,9,8.4,7,1.1342423145737324
25,408e7697ff724a79b1196aca81f1fa00,112,2,690.0,1,1,3,2.0,1,-1.359699069127039
26,4ce43656218a4cad8c9069a2c500fe7a,113,17,61175.6,1,4,7,4.9,4,-0.22963187963762688
27,4da63df5bc9a4a3fa9f2429bb870dbd2,134,2,1656.0,1,1,3,2.0,1,-1.359699069127039
28,53611dbb2d0b420482fa04e17261789a,0,610,497363.54000000015,10,10,9,9.5,8,1.5628884898973023
29,551fb1a6f07e4b229e7411a0beee55c7,2,116,18450.050000000003,8,8,6,7.0,6,0.5886926368891886
30,5629ebcbe64540199e3b9a4883a18116,51,92,49531.54,4,8,7,6.7,5,0.47178913452821497
31,56ebc23fbfac40deae22d7fe315bf247,0,5029,20058001.659999993,10,10,10,10.0,8,1.7577276604989251
32,619e031d56564cc88aeedecb99f63f4c,56,4,2603.6,3,2,4,3.2,3,-0.8920850596831443
